Source: http://resources.texasfasola.org/tunecomparisonindex.html

Tune	Page in Denson (2006)
Jordan's Banks	557	
Judgement, The	269	
Judgment Day, The	542	
Land of Beulah	463	
Land of Rest	430	
Leaning on Jesus' Breast	450	A major key variation and modification of the minor key tune Leaning on Jesus' Breast No. 2 (Cooper, pg. 480)
Leaning on Jesus' Breast No. 2	480	A minor key variation and modification of the major key tune Leaning on Jesus' Breast (Cooper, pg. 450)
Lebanon (New)	266	
Let the Saints Appear	477	
Little Pilgrim	392	
Living Stone, The	498	Modification of earlier tune: Stafford (Denson, pg. 78)
Long Ago, Comrades	520	
Lonsdale	575	
Look to Jesus, Weary One	396	
Lord is in This Place, The	15	
Lord's Promise, The	362	
Lost City, The	320	
Love At Home	518	
March On	478	
Marching to that Home	565	
Marthasville	273	
Marysville	163	
Master's Call, The	496	
Melody	286	
Mercy Seat	96	
Miller	510	
Minnesota	210	
Missouri	438	
Morning Meditation	318	
Mount Pleasant	372	Abbreviated version of Mount Pleasant (Cooper & Denson, pg. 218)
My Eternal Home	544	
My Happy Home	346	
My Home Above	524	
My Last Moments	445	
My Mother's Gone	519	
My Native Land	416	
My Soul Abounds with Joy	460	
Nettie	380	
Newry	225	
Newton	242	
No Night on That Golden Shore	486	
Not Made With Hands	571	
O Blessed Day	566	
O Jesus, Ever with Us Stay	532	Modified version of earlier tune: Present Joys (Denson, pg. 318)
Oh, How Wonderful!	512	
On To Calvary	562	
Orphan Girl, The	506	
Our King Above the Sky	570	
Palmetto	54	
Peaceful Shore	528	
Pickard's Hymn	442	
Place for Children, A	180	
Poyner	41	
Praise The Lord	537	
Praise the Redeemer	555	Earlier version of modified tune: New Hope (Denson, pg. 316)
Praising Jesus	538	
Prayerful Heart, A	556	
Prosperity	359	
Red Sea Anthem, The	350	
Rejoice	433	
Religion Is Sweet	420	
Remember Me	368	
Rise to the Mansions of Glory	338	
Rochester	30	
Royal Invitation, The	391	
Sacred Music	330	
Sacred Stream	267	
Safety	271	
Saint Paul	105	
Saint Peters	389	
Saint's Request	286	
Saints Will Be Gathered There, The	534	
Salem	56	
San Diego	156	
Security	66	
Sessions	38	
Shades of Night	522	Verse is a modified version of That Sweet Home (Cooper, pg. 549)
Shady Grove	440	
Shall We Know Each Other There	55	
Sharon's Lovely Rose	446	
She Is Sleeping	540	
Shiloah	426	
Sing His Praise	209	
Singing As I Go	560	
Sky, The	389	
Song of Texas, A	422	
Song to the Lamb	138	
Spiritual Sailor, The	150	
Star in the East	175	
Supplication	45	
Surrender, The	381	
Sweet By and By	500	
Sweet Heaven	278	
Sweet Home	564	
Sweet Peace	574	
Sweet Thought	468	
Take Me Home	535	Modified Tune: Yarbrough (Cooper, pg. 243)
Talbotton	77	
Teacher's Farewell, The	444	A major key variation and modification of the minor key tune Sing to Me of Heaven (Cooper & Denson, pg. 312)
Texas	268	
That Beautiful Land	501	
That Beautiful Land On High	503	
That Sweet Home	549	Verse is a modified version of Shades of Night (Cooper, pg. 522)
There's a Great Day Coming	328	
Thy Love	536	Earlier version, but with new title, of: North Salem (Denson, pg. 440). Also a minor key variation and modification of the major key tune Raymond (Cooper, pg. 198/Denson, pg. 441)
Thy Love Proclaim	533	
Timmons	117	
Toplady	107	
Trusting	465	
Trusting Jesus	573	
Unity	488	
Uxbridge	265	
Vesper	455	
Washington	147	
We Are Going Home	509	
We Shall Meet Again	496	
We Will Sing with Angels There	572	
Weeping Peter	373	
We'll Meet Beyond the Grave	344	
We'll Meet Over There	345	Same tune as Golden Streets (Cooper & Denson, pg. 425)
We'll Wear a Crown	517	
When Jesus Calls	529	
When the Lord Shall Come for Me	515	
Where Heavenly Joy Imparts	493	
Where Love In Glory Shines	499	A major key variation and modification of the minor key tune Exhortation (Cooper & Denson, pg. 272)
Where The Saints Are Passing Over	483	
Where the Soul Shall Never Die	554	
Whosoever Will	513	
Will You Come?	184	
Will You Meet Me?	559	
Willie	410	
Wilson	502	
Winning Souls	469	
Wonder, The	292	
World Above	551	
Worlds Above	315	
Yarbrough	243	Modified Tune: Take Me Home (Cooper, pg. 535)
Zion's Ship	457	
ZynderZee	157	
